,0,1,2,3,4,5,6,7,8,9,10,11
0,98,72,57,51,50,43,40,40,69,50,151,83,69,45,57,94,
1,98,100,57,98,151,146,151,151,51,69,69,69,72,72,73,72,
2,72,68,72,72,73,50,73,73,153,102,151,151,72,65,72,47,
3,95,72,72,72,47,47,47,47,50,71,50,48,47,73,47,47,
4,47,47,53,47,50,47,47,72,71,71,65,71,73,73,73,73,
5,50,51,50,77,74,73,73,117,73,73,80,73,47,47,47,47,
6,51,101,93,50,73,73,100,73,50,50,50,50,111,74,74,74,
7,100,100,130,95,74,74,74,74,75,93,93,93,101,76,101,51,
8,98,101,95,100,73,74,74,79,74,74,100,74,92,97,98,100,
9,74,74,74,73,95,95,95,95,92,115,92,94,98,74,74,66,
10,95,95,95,94,74,79,74,74,73,73,89,73,74,74,73,68,
11,74,92,74,74,89,51,91,111,74,74,49,68,74,68,74,74,
12,68,68,69,68,68,67,79,68,98,74,74,74,51,51,51,51,
13,79,68,69,44,73,68,69,69,99,68,68,68,51,40,51,51,
14,68,68,68,68,75,69,69,69,68,68,68,68,51,51,100,51,
15,68,92,68,68,69,69,69,69,69,91,69,69,77,77,69,69,
16,68,68,104,68,69,69,75,69,68,69,69,69,73,92,92,92,
17,70,77,69,72,75,75,84,75,76,69,75,69,73,104,113,104,
18,84,84,84,99,99,76,76,76,70,70,70,112,84,72,84,84,
19,99,98,98,103,99,107,98,99,118,99,122,84,76,76,76,76,
20,116,102,114,118,118,105,118,118,76,76,76,81,76,76,76,76,
21,105,94,97,45,76,77,76,76,76,81,76,96,118,118,118,96,
22,119,119,118,119,81,80,76,76,115,118,95,77,77,115,118,134,
23,120,97,119,119,76,77,77,77,136,69,132,74,97,80,80,96,
24,89,74,74,74,120,120,118,120,120,105,105,102,132,132,73,96,
25,89,74,100,74,132,103,132,132,86,89,89,89,74,74,74,74,
26,98,89,91,89,89,71,79,79,132,132,132,74,121,132,67,97,
27,71,106,116,102,74,74,74,74,131,71,118,75,89,98,96,98,
28,76,131,112,135,102,141,102,102,71,71,73,71,75,73,71,95,
29,92,99,92,136,73,97,73,73,108,101,82,102,96,112,112,113,
30,74,145,108,108,112,54,51,112,108,108,109,132,107,107,108,107,
31,98,109,109,109,108,75,108,74,112,74,112,94,
