,0,1,2,3,4,5,6,7,8,9,10,11
0,72,55,138,44,111,66,50,40,94,54,101,75,
1,140,132,40,102,117,73,94,94,94,101,101,75,
2,133,143,100,105,115,99,112,94,94,98,88,101,
3,165,138,140,115,115,115,112,103,112,173,173,101,
4,165,166,95,84,115,136,112,107,81,170,143,173,
5,164,117,147,123,136,82,131,112,112,168,174,145,
6,166,100,114,136,136,71,131,131,131,106,168,133,
7,168,167,56,148,136,97,131,94,94,168,151,174,
8,167,139,145,148,116,104,131,94,131,104,121,166,
9,151,167,47,144,108,148,84,131,106,169,149,149,
10,95,97,147,123,149,118,127,117,127,147,47,151,
11,100,42,136,148,150,148,135,127,94,169,147,146,
12,118,145,136,144,114,116,111,120,148,101,175,148,
13,143,48,106,145,146,146,140,147,74,82,168,85,
14,142,137,135,143,148,171,137,137,105,113,122,100,
15,132,75,132,150,171,121,52,147,146,140,110,149,
16,98,133,120,121,149,151,112,143,102,149,117,168,
17,133,110,133,133,134,154,99,137,148,193,109,167,
18,131,131,115,82,140,154,163,149,144,198,117,169,
19,120,97,118,149,142,172,168,149,111,197,133,193,
20,98,98,120,151,109,149,134,98,139,178,173,167,
21,134,131,119,180,139,151,107,107,144,137,170,171,
22,98,131,88,100,171,139,144,133,146,139,148,118,
23,47,131,120,178,171,173,129,146,80,151,166,149,
24,96,96,95,170,53,69,147,146,147,40,119,148,
25,174,96,98,87,106,175,107,123,146,145,74,146,
26,49,170,137,177,72,174,109,96,148,199,133,169,
27,68,174,174,191,177,193,100,135,147,201,199,191,
